"alignment","status","ptm_sites_found","ptm_sites_mapped","feature_file"
"AgSp1.1_tr_rm3_alignment","No PTM data",0,0,NA
"AgSp1.2_cr_alignment","Written",7,7,"jalview_features/AgSp1.2_cr_alignment.features"
"AgSp1.2_cr_cross_species","No PTM data",0,0,NA
"AgSp1.2_ct_alignment","No PTM data",0,0,NA
"AgSp1.2_ct_cross_species","No PTM data",0,0,NA
"AgSp1.2_glycine_alignment","Written",6,6,"jalview_features/AgSp1.2_glycine_alignment.features"
"AgSp1.2_glycine_cross_species","Written",6,6,"jalview_features/AgSp1.2_glycine_cross_species.features"
"AgSp1.2_glycine_rm1_alignment","Written",6,6,"jalview_features/AgSp1.2_glycine_rm1_alignment.features"
"AgSp1.2_nt_alignment","No PTM data",0,0,NA
"AgSp1.2_nt_cross_species","No PTM data",0,0,NA
"AgSp1.2_rr_alignment","Written",14,14,"jalview_features/AgSp1.2_rr_alignment.features"
"AgSp1.2_rr_cross_species","Written",14,14,"jalview_features/AgSp1.2_rr_cross_species.features"
"AgSp1.2_serine_alignment","Written",20,20,"jalview_features/AgSp1.2_serine_alignment.features"
"AgSp1.2_serine_cross_species","Written",20,20,"jalview_features/AgSp1.2_serine_cross_species.features"
"AgSp1.2_serine_rm1_alignment","No PTM data",0,0,NA
"AgSp1.2_serine_rm2_alignment","Written",10,10,"jalview_features/AgSp1.2_serine_rm2_alignment.features"
"AgSp1.2_serine_rm3_alignment","Written",10,10,"jalview_features/AgSp1.2_serine_rm3_alignment.features"
"AgSp1.2_sy_alignment","No PTM data",0,0,NA
"AgSp1.2_sy_cross_species","No PTM data",0,0,NA
"AgSp1.2_tr_alignment","Written",7,7,"jalview_features/AgSp1.2_tr_alignment.features"
"AgSp1.2_tr_cross_species","Written",7,7,"jalview_features/AgSp1.2_tr_cross_species.features"
"AgSp1.2_tr_rm1_alignment","Written",3,3,"jalview_features/AgSp1.2_tr_rm1_alignment.features"
"NA_tr_cross_species","Written",10,10,"jalview_features/NA_tr_cross_species.features"
